anime_id,eng_version,Score,Genres,Type,Episodes,Members,Premiered
35247,Owarimonogatari Second Season,8.93,"Mystery, Comedy, Supernatural, Vampire",TV,7,270878,Summer 2017
2904,Code Geass:Lelouch of the Rebellion R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,1268320,Spring 2008
39486,Gintama: The Final,8.88,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen",Movie,1,29811,
32935,Haikyu!! 3rd Season,8.87,"Comedy, Sports, Drama, School, Shounen",TV,10,727240,Fall 2016
37491,Gintama.:Silver Soul Arc - Second Half War,8.86,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,14,114591,Summer 2018
37510,Mob Psycho 100 II,8.84,"Action, Slice of Life, Comedy, Supernatural",TV,13,835688,Winter 2019
199,Spirited Away,8.83,"Adventure, Supernatural, Drama",Movie,1,1245727,
31758,Kizumonogatari III: Reiketsu-hen,8.82,"Action, Mystery, Supernatural, Vampire",Movie,1,312062,
36838,Gintama.:Silver Soul Arc,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,126835,Winter 2018
33050,Fate/stay night:Heaven's Feel - III. Spring Song,8.79,"Action, Supernatural, Magic, Fantasy",Movie,1,127531,
33095,Descending Stories:Showa Genroku Rakugo Shinju,8.79,"Drama, Historical, Josei",TV,12,140007,Winter 2017
17074,Monogatari Series:Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26,509401,Summer 2013
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,1251960,Spring 1998
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,614100,Spring 2004
24701,Mushishi Zoku Shou 2nd Season,8.76,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,198954,Fall 2014
263,Fighting Spirit,8.75,"Comedy, Sports, Drama, Shounen",TV,75,383603,Fall 2000
23273,Your Lie in April,8.74,"Drama, Music, Romance, School, Shounen",TV,22,1442330,Fall 2014
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Movie,1,216416,
40591,Kaguya-sama:Love is War Season 2,8.74,"Comedy, Psychological, Romance, School, Seinen",TV,12,654744,Spring 2020
34599,Made in Abyss,8.74,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13,862410,Summer 2017
28891,Haikyu!! 2nd Season,8.73,"Comedy, Sports, Drama, School, Shounen",TV,25,874150,Fall 2015
44,Samurai X:Trust and Betrayal,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,228484,
21939,MUSHI-SHI -Next Passage-,8.72,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,10,226522,Spring 2014
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.72,"Action, Historical, Demons, Supernatural, Shounen",Movie,1,341006,
1575,Code Geass:Lelouch of the Rebellion,8.72,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,1583882,Fall 2006
164,Princess Mononoke,8.72,"Action, Adventure, Fantasy",Movie,1,876813,
37521,Vinland Saga,8.71,"Action, Adventure, Drama, Historical, Seinen",TV,24,671949,Summer 2019
245,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,589324,Summer 1999
457,Mushi-Shi,8.69,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26,620736,Fall 2005
38329,Rascal Does Not Dream of a Dreaming Girl,8.68,"Supernatural, Drama, Romance, School",Movie,1,359086,
5258,Fighting Spirit:New Challenger,8.67,"Comedy, Sports, Drama, Shounen",TV,26,201421,Winter 2009
2921,Rocky Joe 2,8.67,"Action, Drama, Shounen, Slice of Life, Sports",TV,47,30192,Fall 1980
431,Howl's Moving Castle,8.67,"Adventure, Drama, Fantasy, Romance",Movie,1,847414,
11665,Natsume's Book of Friends Season 4,8.67,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,193052,Winter 2012
2001,Gurren Lagann,8.66,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,1213765,Spring 2007
7311,The Disappearance of Haruhi Suzumiya,8.65,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,486871,
37779,The Promised Neverland,8.65,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12,1133952,Winter 2019
37987,Violet Evergarden Movie,8.65,"Slice of Life, Drama, Fantasy",Movie,1,189859,
34591,Natsume's Book of Friends Season 6,8.65,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11,134852,Spring 2017
12355,Wolf Children,8.64,"Fantasy, Slice of Life",Movie,1,616049,
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.64,"Psychological, Drama, Thriller, Fantasy",TV,12,342829,Winter 2021
33352,Violet Evergarden,8.64,"Slice of Life, Drama, Fantasy",TV,13,1039300,Winter 2018
22135,Ping Pong the Animation,8.63,"Drama, Psychological, Seinen, Sports",TV,11,265774,Spring 2014
1535,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37,2589552,Fall 2006
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.63,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,96435,
38000,Demon Slayer:Kimetsu no Yaiba,8.62,"Action, Demons, Historical, Shounen, Supernatural",TV,26,1423778,Spring 2019
31757,Kizumonogatari Part 2:Nekketsu,8.61,"Action, Mystery, Supernatural, Vampire",Movie,1,305408,
37991,JoJo's Bizarre Adventure:Golden Wind,8.61,"Action, Adventure, Shounen",TV,39,542642,Fall 2018
38474,Laid-Back Camp,8.61,"Slice of Life, Comedy",TV,13,101971,Winter 2021
7785,The Tatami Galaxy,8.61,"Mystery, Comedy, Psychological, Romance",TV,11,307558,Spring 2010
19647,Hajime No Ippo:The Fighting!,8.6,"Comedy, Sports, Drama, Shounen",TV,25,175315,Fall 2013
42897,Horimiya,8.6,"Slice of Life, Comedy, Romance, School, Shounen",TV,13,363936,Winter 2021
28735,Showa Genroku Rakugo Shinju,8.6,"Drama, Historical, Josei",TV,13,223244,Winter 2016
10379,Natsume's Book of Friends Season 3,8.6,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,200904,Summer 2011
36098,I want to eat your pancreas,8.59,Drama,Movie,1,437815,
33049,Fate/stay night:Heaven's Feel - II. Lost Butterfly,8.59,"Action, Fantasy, Magic, Supernatural",Movie,1,200194,
35760,Attack on Titan Season 3,8.59,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,1212430,Summer 2018
32983,Natsume's Book of Friends Season 5,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,11,135177,Fall 2016
11741,Fate/Zero Season 2,8.59,"Action, Supernatural, Magic, Fantasy",TV,12,808294,Spring 2012
12365,Bakuman.,8.58,"Comedy, Drama, Romance, Shounen",TV,25,268794,Fall 2012
44087,Gintama: The Semi-Final,8.58,"Action, Comedy, Historical, Parody, Samurai, Shounen",Special,2,19351,
44042,Holo Graffiti,8.58,Comedy,ONA,,18293,
30276,One Punch Man,8.57,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,2123866,Fall 2015
4565,Gurren Lagann The Movie:The Lights in the Sky are Stars,8.57,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,168762,
5300,Natsume's Book of Friends Season 2,8.57,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,200649,Winter 2009
35839,A Place Further Than The Universe,8.57,"Adventure, Comedy, Drama",TV,13,344406,Winter 2018
21329,The Shadow that Devours the Sun,8.57,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",Special,1,105796,
40776,Haikyuu!!: To the Top 2nd Season,8.57,"Comedy, Sports, Drama, School, Shounen",TV,12,355906,Fall 2020
4282,the Garden of sinners Chapter 5:Paradox Paradigm,8.56,"Action, Mystery, Supernatural, Drama, Romance, Thriller",Movie,1,188403,
40748,Jujutsu Kaisen (TV),8.54,"Action, Demons, Supernatural, School, Shounen",TV,24,707976,Fall 2020
801,Ghost in the Shell:Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV,26,191690,Winter 2004
40417,Fruits Basket 2nd Season,8.54,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,25,197274,Spring 2020
30654,Assassination Classroom Second Season,8.54,"Action, Comedy, School, Shounen",TV,25,899476,Winter 2016
3297,Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV,13,98196,Winter 2008
35843,Gintama.:Slip Arc,8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,127958,Fall 2017
20583,Haikyu!!,8.53,"Comedy, Sports, Drama, School, Shounen",TV,25,1185274,Spring 2014
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,101,201203,Fall 1993
37379,Chihayafuru 3,8.52,"Game, Slice of Life, Sports, Drama, School, Josei",TV,24,88901,Fall 2019
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,,1352724,Fall 1999
38040,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,8.52,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",Movie,1,418555,
12431,Space Brothers,8.52,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,150428,Spring 2012
6114,Rainbow,8.52,"Drama, Historical, Seinen, Thriller",TV,26,304557,Spring 2010
7472,Gintama:The Movie,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,116327,
30484,Steins;Gate 0,8.51,"Sci-Fi, Thriller",TV,23,590847,Spring 2018
578,Grave of the Fireflies,8.51,"Drama, Historical",Movie,1,438214,
31933,JoJo's Bizarre Adventure:Diamond is Unbreakable,8.51,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",TV,39,625022,Spring 2016
32,Neon Genesis Evangelion:The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,572080,
205,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,892196,Spring 2004
39587,Re:ZERO -Starting Life in Another World- Season 2,8.5,"Psychological, Drama, Thriller, Fantasy",TV,13,614588,Summer 2020
11577,Steins;Gate:The Movie − Load Region of Déjà Vu,8.5,"Sci-Fi, Drama",Movie,1,446967,
37208,Mo Dao Zu Shi,8.5,"Action, Adventure, Mystery, Historical, Supernatural",ONA,15,131604,
36999,Zoku Owarimonogatari,8.5,"Mystery, Comedy, Supernatural, Vampire",Movie,6,146843,
32182,Mob Psycho 100,8.49,"Action, Slice of Life, Comedy, Supernatural",TV,12,1255830,Summer 2016
33,Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,432190,Fall 1997
10165,Nichijou - My Ordinary Life,8.48,"Slice of Life, Comedy, School, Shounen",TV,26,647924,Spring 2011
437,Perfect Blue,8.48,"Dementia, Drama, Horror, Psychological",Movie,1,393287,
36885,Saenai Heroine no Sodatekata Fine,8.48,"Harem, Comedy, Romance, Ecchi, School",Movie,1,87828,
16498,Attack on Titan,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,25,2531397,Spring 2013
34612,The Disastrous Life of Saiki K. 2,8.48,"Slice of Life, Comedy, Supernatural, School, Shounen",TV,24,349764,Winter 2018
877,Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",TV,47,403296,Spring 2006
40059,Golden Kamuy Season 3,8.46,"Action, Adventure, Historical, Seinen",TV,12,75226,Fall 2020
31181,Owarimonogatari,8.46,"Mystery, Comedy, Supernatural, Vampire",TV,12,356371,Fall 2015
24687,Mushishi Path of Thorns,8.46,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,77296,
39547,My Teen Romantic Comedy SNAFU Climax!,8.46,"Slice of Life, Comedy, Drama, Romance, School",TV,12,390621,Summer 2020
25777,Attack on Titan Season 2,8.45,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,1591506,Spring 2017
36649,Banana Fish,8.45,"Action, Adventure, Drama, Shoujo",TV,24,415468,Summer 2018
392,Yu Yu Hakusho:Ghost Files,8.45,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen",TV,112,475397,Fall 1992
37965,Run with the Wind,8.45,"Comedy, Sports, Drama",TV,23,196221,Fall 2018
26055,JoJo's Bizarre Adventure:Stardust Crusaders - Battle in Egypt,8.45,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,641298,Winter 2015
5028,Major S5,8.45,"Comedy, Drama, Romance, Shounen, Sports",TV,25,57160,Winter 2009
467,Ghost in the Shell:Stand Alone Complex,8.45,"Action, Military, Sci-Fi, Police, Mecha, Seinen",TV,26,326394,Fall 2002
33255,The Disastrous Life of Saiki K.,8.45,"Comedy, School, Shounen, Slice of Life, Supernatural",TV,120,591140,Summer 2016
35851,Maquia:When the Promised Flower Blooms,8.45,"Drama, Fantasy",Movie,1,244902,
42984,Gotcha!,8.44,"Music, Fantasy",Music,1,14082,
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.44,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,2,31786,
5205,the Garden of sinners Chapter 7:Murder Speculation Part B,8.44,"Action, Mystery, Supernatural, Romance, Thriller",Movie,1,165332,
11981,Puella Magi Madoka Magica the Movie:Rebellion,8.44,"Mystery, Psychological, Drama, Magic, Thriller",Movie,1,287972,
38450,Mo Dao Zu Shi 2nd Season,8.43,"Action, Mystery, Historical, Supernatural",ONA,8,53802,
10162,Bunny Drop,8.43,"Slice of Life, Josei",TV,11,391626,Summer 2011
14397,Chihayafuru 2,8.43,"Drama, Game, Josei, School, Slice of Life, Sports",TV,25,183624,Winter 2013
5941,Cross Game,8.43,"Comedy, Drama, Romance, School, Shounen, Sports",TV,50,100414,Spring 2009
38889,Kono Oto Tomare!:Sounds of Life Season 2,8.43,"Drama, Music, Romance, School, Shounen",TV,13,82333,Fall 2019
31646,March comes in like a lion,8.43,"Drama, Game, Seinen, Slice of Life",TV,22,461713,Fall 2016
37999,Kaguya-sama:Love is War,8.43,"Comedy, Psychological, Romance, School, Seinen",TV,12,925543,Winter 2019
2251,Baccano!,8.42,"Action, Comedy, Historical, Mystery, Supernatural",TV,13,714937,Summer 2007
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,416227,Fall 1999
2246,Mononoke,8.42,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen",TV,12,215972,Summer 2007
9989,anohana:The Flower We Saw That Day,8.42,"Slice of Life, Supernatural, Drama",TV,11,1157747,Spring 2011
22789,Barakamon,8.41,"Comedy, Slice of Life",TV,12,503396,Summer 2014
37105,Grand Blue Dreaming,8.41,"Slice of Life, Comedy, Seinen",TV,12,421403,Summer 2018
35557,Land of the Lustrous,8.41,"Action, Drama, Fantasy, Mystery, Seinen",TV,12,304278,Fall 2017
32366,Gintama°: Aizome Kaori-hen,8.41,"Comedy, Parody",OVA,2,59412,
38826,Weathering With You,8.41,"Slice of Life, Drama, Romance, Fantasy",Movie,1,475388,
36538,Natsume Yujin-cho the Movie:Ephemeral Bond,8.41,"Demons, Drama, Shoujo, Slice of Life, Supernatural",Movie,1,45120,
40682,Kingdom 3rd Season,8.4,"Action, Historical, Military, Seinen",TV,,39329,Spring 2020
572,Nausicaä of the Valley of the Wind,8.4,"Adventure, Fantasy",Movie,1,278500,
36275,Natsume Yuujinchou Roku Specials,8.4,"Slice of Life, Demons, Supernatural, Drama, Shoujo",Special,2,32238,
22535,Parasyte -the maxim-,8.4,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",TV,24,1243239,Fall 2014
777,Hellsing Ultimate,8.4,"Action, Military, Horror, Supernatural, Vampire, Seinen",OVA,10,676023,
9260,Kizumonogatari Part 1:Tekketsu,8.4,Vampire,Movie,1,371083,
10030,Bakuman.,8.4,"Comedy, Drama, Romance, Shounen",TV,25,289356,Fall 2011
39741,Violet Evergarden I:Eternity and the Auto Memory Doll,8.4,"Slice of Life, Drama, Fantasy",Movie,1,184398,
17389,Kingdom:Season 2,8.39,"Action, Military, Historical, Seinen",TV,39,79350,Summer 2013
11979,Puella Magi Madoka Magica the Movie Part 2:Eternal,8.39,"Drama, Magic, Psychological, Thriller",Movie,1,162794,
5,Cowboy Bebop:The Movie,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,273145,
38883,Haikyuu!!: To the Top,8.39,"Comedy, Sports, Drama, School, Shounen",TV,13,470208,Winter 2020
9756,Puella Magi Madoka Magica,8.38,"Psychological, Drama, Magic, Thriller",TV,12,971621,Winter 2011
37450,Rascal Does Not Dream of Bunny Girl Senpai,8.38,"Comedy, Supernatural, Drama, Romance, School",TV,13,940033,Fall 2018
25781,Shingeki no Kyojin: Kuinaki Sentaku,8.38,"Action, Fantasy, Shoujo",OVA,2,323012,
13601,Psycho-Pass,8.38,"Action, Sci-Fi, Police, Psychological",TV,22,1211503,Fall 2012
7655,Major S6,8.38,"Comedy, Drama, Shounen, Sports",TV,25,50558,Spring 2010
10408,Hotarubi no Mori e,8.38,"Drama, Romance, Shoujo, Supernatural",Movie,1,567617,
40052,Great Pretender,8.38,"Action, Adventure, Mystery, Comedy, Psychological",ONA,23,273035,
12029,Star Blazers:Space Battleship Yamato 2199,8.37,"Action, Military, Sci-Fi, Space, Drama",OVA,26,92324,
31043,ERASED,8.37,"Mystery, Psychological, Supernatural, Seinen",TV,12,1359119,Winter 2016
30709,Kamisama Hajimemashita: Kako-hen,8.37,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",OVA,4,116128,
39535,Mushoku Tensei:Jobless Reincarnation,8.37,"Drama, Magic, Fantasy",TV,11,319654,Winter 2021
12531,Kids on the Slope,8.36,"Drama, Josei, Music, Romance, School",TV,12,284901,Spring 2012
5341,Spice and Wolf II,8.36,"Adventure, Historical, Romance, Fantasy",TV,12,395939,Summer 2009
10937,Mobile Suit Gundam:The Origin,8.36,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,51377,
5081,Bakemonogatari,8.36,"Romance, Supernatural, Mystery, Vampire",TV,15,1063666,Summer 2009
6594,Katanagatari,8.36,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,442694,Winter 2010
40211,The Legend of Hei,8.35,"Adventure, Drama, Fantasy",Movie,1,7427,
3784,Evangelion:2.0 You Can (Not) Advance,8.35,"Action, Sci-Fi, Psychological, Drama, Mecha",Movie,1,350947,
5420,Erin,8.35,"Drama, Fantasy, Slice of Life",TV,50,68946,Winter 2009
11917,Major: World Series,8.35,"Comedy, Drama, Shounen, Sports",OVA,2,29532,
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35,"Slice of Life, Demons, Supernatural, Drama, Shoujo",OVA,1,62641,
13125,From the New World,8.35,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",TV,25,619318,Fall 2012
5040,One Outs,8.35,"Sports, Psychological, Seinen",TV,25,182471,Fall 2008
25835,Shirobako,8.35,"Comedy, Drama",TV,24,349479,Fall 2014
2559,Romeo and the Black Brothers,8.35,"Adventure, Drama, Historical, Slice of Life",TV,33,36828,Winter 1995
39808,Non Non Biyori Nonstop,8.35,"Slice of Life, Comedy, Seinen",TV,12,47968,Winter 2021
486,Kino's Journey,8.34,"Action, Adventure, Psychological, Slice of Life",TV,13,223758,Spring 2003
10863,Steins;Gate:Egoistic Poriomania,8.34,"Sci-Fi, Comedy, Thriller",Special,1,338678,
38691,Dr. Stone,8.34,"Sci-Fi, Adventure, Shounen",TV,24,945133,Summer 2019
6945,Gintama: Shiroyasha Koutan,8.34,"Action, Sci-Fi, Comedy, Historical, Parody",Special,1,53216,
24415,Kuroko's Basketball 3,8.34,"Comedy, Sports, School, Shounen",TV,25,506465,Winter 2015
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Movie,1,61975,
34240,Shelter,8.34,"Sci-Fi, Music",Music,1,265646,
10087,Fate/Zero,8.34,"Action, Supernatural, Magic, Fantasy",TV,13,1090273,Fall 2011
9617,K-ON! The Movie,8.33,"Music, Slice of Life, Comedy",Movie,1,238850,
40730,Tian Guan Ci Fu,8.33,"Action, Adventure, Historical, Supernatural, Drama",ONA,11,35242,
1210,Welcome to the N.H.K.,8.33,"Comedy, Psychological, Drama, Romance",TV,24,550365,Summer 2006
28701,Fate/stay night [Unlimited Blade Works] Season 2,8.33,"Action, Fantasy, Magic, Supernatural",TV,13,605173,Spring 2015
28805,The Boy and the Beast,8.33,"Adventure, Supernatural",Movie,1,306149,
338,The Rose of Versailles,8.33,"Military, Historical, Drama, Romance, Shoujo",TV,40,68422,Fall 1979
33486,My Hero Academia 2,8.33,"Action, Comedy, Super Power, School, Shounen",TV,25,1611771,Spring 2017
4081,Natsume's Book of Friends,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,412285,Summer 2008
34534,Natsume Yuujinchou Go Specials,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo",Special,2,32553,
137,Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,8,101579,
44235,Pui Pui Molcar,8.33,Kids,TV,,3418,Winter 2021
30230,Ace of Diamond:Second Season,8.32,"Comedy, Sports, School, Shounen",TV,51,101140,Spring 2015
39533,Given,8.32,"Drama, Music, Romance, Shounen Ai, Slice of Life",TV,11,260768,Summer 2019
43299,Wonder Egg Priority,8.32,"Psychological, Drama, Fantasy",TV,12,222725,Winter 2021
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,1160651,Fall 1995
1698,Nodame Cantabile,8.32,"Music, Slice of Life, Comedy, Drama, Romance, Josei",TV,23,262005,Winter 2007
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.32,"Drama, Fantasy, Slice of Life",Special,1,181036,
30346,Doukyusei -Classmates-,8.32,"Slice of Life, Romance, School, Shounen Ai",Movie,1,157724,
33674,No Game No Life: Zero,8.32,"Game, Supernatural, Drama, Romance, Fantasy",Movie,1,608820,
2685,Tsubasa RESERVoir CHRoNiCLE:Tokyo Revelations,8.31,"Action, Adventure, Drama, Romance, Fantasy, Shounen",OVA,3,82168,
523,My Neighbor Totoro,8.31,"Adventure, Comedy, Supernatural",Movie,1,721786,
513,Castle in the Sky,8.31,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,335428,
329,Planetes,8.31,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,195630,Fall 2003
1365,Case Closed:The Phantom of Baker Street,8.31,"Adventure, Mystery, Police, Shounen",Movie,1,58853,
57,Beck:Mongolian Chop Squad,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,255668,Fall 2004
37078,The King's Avatar (2018),8.31,"Action, Game",ONA,3,80149,
45,Rurouni Kenshin,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,386195,Winter 1996
2418,Sword of the Stranger,8.31,"Action, Adventure, Historical, Samurai",Movie,1,259852,
32937,KonoSuba:God's Blessing on This Wonderful World! 2,8.31,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",TV,10,990857,Winter 2017
31988,Sound! Euphonium 2,8.3,"Music, School, Drama",TV,13,164555,Fall 2016
264,Fighting Spirit:Champion Road,8.29,"Comedy, Shounen, Sports",Special,1,97346,
759,Tokyo Godfathers,8.29,"Comedy, Drama",Movie,1,198233,
31240,Re:ZERO -Starting Life in Another World-,8.29,"Psychological, Drama, Thriller, Fantasy",TV,25,1478842,Spring 2016
6675,Redline,8.29,"Action, Sci-Fi, Cars, Sports",Movie,1,259301,
185,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,26,229315,Spring 1998
19363,Silver Spoon 2nd Season,8.29,"Comedy, School, Shounen, Slice of Life",TV,11,120433,Winter 2014
28171,Food Wars! Shokugeki no Soma,8.29,"Ecchi, School, Shounen",TV,24,1167795,Spring 2015
43,Ghost in the Shell,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,468279,
40852,Dr. Stone: Stone Wars,8.29,"Sci-Fi, Adventure, Shounen",TV,11,414084,Winter 2021
139,Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,14,111292,
2402,Tomorrow's Joe,8.28,"Action, Drama, Shounen, Slice of Life, Sports",TV,79,57622,Spring 1970
16894,Kuroko's Basketball 2,8.28,"Comedy, Sports, School, Shounen",TV,25,588404,Fall 2013
11843,Daily Lives of High School Boys,8.28,"Slice of Life, Comedy, School",TV,12,593890,Winter 2012
18115,Magi:The Kingdom of Magic,8.28,"Action, Adventure, Magic, Fantasy, Shounen",TV,25,639860,Fall 2013
3002,Kaiji:Ultimate Survivor,8.28,"Game, Psychological, Thriller, Seinen",TV,26,247228,Fall 2007
37055,Saga of Tanya the Evil:The Movie,8.28,"Action, Military, Magic",Movie,1,160580,
23847,My Teen Romantic Comedy SNAFU TOO!,8.27,"Slice of Life, Comedy, Drama, Romance, School",TV,13,713318,Spring 2015
1033,Millennium Actress,8.27,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,127210,
